timestamp,x,y,z
1726361641.4100277,0.55,-0.55,-0.12
1726361641.6555724,0.31,-0.31,0.49
1726361641.9045641,1.28,-0.37,-0.18
1726361642.153294,0.24,0.06,0.37
1726361642.3991356,-0.31,0.06,-0.24
1726361642.6447592,1.1,0.12,-1.83
1726361642.8933773,2.08,-0.18,-1.77
1726361643.1410918,2.2,0.12,-1.65
1726361643.390927,-0.18,-0.12,0.49
1726361643.6351688,0.06,-0.18,0.18
1726361643.881535,0.92,-1.1,-1.65
1726361644.1270776,1.77,0.49,-1.28
1726361644.3733132,1.28,0.37,-0.37
1726361644.6290195,0.49,-0.43,0.0
1726361644.8756516,0.49,-0.67,-1.28
1726361645.1246529,0.43,-0.18,-0.49
1726361645.373344,-2.38,-2.32,-0.73
1726361645.6401107,-0.24,-2.01,-0.12
1726361645.8878021,0.43,-1.16,0.0
1726361646.1335957,1.28,-1.59,-1.1
1726361646.3825097,1.04,-0.67,-1.28
1726361646.6280155,0.0,-1.53,-1.65
1726361646.8769994,1.77,-1.28,-2.93
1726361647.1238768,1.22,-0.31,-0.79
1726361647.371507,2.38,-0.37,-0.43
1726361647.614684,0.55,0.43,0.98
1726361647.8621187,0.0,-0.37,-0.49
1726361648.1117327,1.71,0.55,-0.55
1726361648.4421875,0.49,-0.06,0.55
1726361648.6883037,0.85,-0.55,0.31
1726361648.9375203,0.92,-0.92,-0.12
1726361649.1854725,0.43,-0.43,0.43
1726361649.4321883,0.67,-0.85,-0.06
1726361649.679799,0.67,0.12,0.37
1726361649.9273024,0.85,-0.24,-0.06
1726361650.171385,0.85,-0.61,-0.12
1726361650.4196877,0.79,-0.98,-0.37
1726361650.6675396,-0.37,-0.98,0.79
1726361650.9155412,0.49,-1.28,0.24
1726361651.1652884,0.49,-1.71,0.31
1726361651.4101462,0.79,-0.92,-0.24
1726361651.6552446,0.55,-0.06,0.37
1726361651.9044623,-0.37,0.0,-0.43
1726361652.1486623,0.92,0.37,-0.43
1726361652.3948746,0.67,0.37,0.0
1726361653.4102778,1.04,0.0,0.18
1726361653.7134936,-0.31,-0.67,0.61
1726361653.957845,0.85,-0.92,0.0
1726361654.201808,0.73,-0.55,-0.12
1726361654.4461327,0.73,-0.12,-0.49
1726361654.6946054,-0.31,-1.16,-0.06
1726361654.941056,0.85,-1.1,0.0
1726361655.189929,0.79,-0.67,-0.43
1726361655.452038,1.1,-0.12,-0.31
1726361655.6994567,0.92,-0.73,-0.92
1726361655.9493465,1.71,-0.18,0.37
1726361656.1986675,2.62,0.85,1.16
1726361656.4498975,-0.37,-0.49,1.59
1726361656.6956983,0.73,-0.49,0.55
1726361656.941692,0.0,-0.43,0.06
1726361657.18915,0.67,-1.22,-0.79
1726361657.4490187,0.24,-0.12,0.31
1726361657.6946015,0.79,-0.67,0.06
1726361657.9409013,1.65,-0.92,-0.18
1726361658.187023,0.37,-0.55,0.49
1726361658.4317815,0.31,-0.92,0.18
1726361658.6757104,0.92,-0.79,-0.18
1726361658.9216266,0.43,-0.55,0.18
